latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
5.912,-68.861,303.9,1.1,1.1,2021-01-28,0310,T,57,6.0NRT,292.2,4.8,N
5.663,-71.335,315.2,1,1,2021-01-28,0310,T,91,6.0NRT,292.9,12.8,N
5.672,-71.336,323.6,1,1,2021-01-28,0310,T,100,6.0NRT,292.8,20.9,N
6.399,-67.475,303.8,1.4,1.2,2021-01-28,0310,T,57,6.0NRT,293.2,6.4,N
6.141,-69.898,304.4,1,1,2021-01-28,0310,T,60,6.0NRT,291.5,5.6,N
6.545,-67.54,304.5,1.4,1.2,2021-01-28,0310,T,60,6.0NRT,293,7.6,N
8.141,-65.625,302.3,2,1.4,2021-01-28,0310,T,48,6.0NRT,282.8,14,N
8.319,-66.368,314.1,1.8,1.3,2021-01-28,0310,T,88,6.0NRT,293.4,25.8,N
8.373,-66.654,318.3,1.7,1.3,2021-01-28,0310,T,97,6.0NRT,292.1,32.5,N
8.578,-67.182,306.5,1.6,1.2,2021-01-28,0310,T,68,6.0NRT,290.4,11.9,N
8.576,-67.197,302.8,1.6,1.2,2021-01-28,0310,T,51,6.0NRT,290.4,7.4,N
7.888,-72.57,302.8,1,1,2021-01-28,0310,T,51,6.0NRT,292.8,4.4,N
8.677,-67.734,302.9,1.4,1.2,2021-01-28,0310,T,42,6.0NRT,281.2,11.8,N
8.647,-68.041,304,1.4,1.2,2021-01-28,0310,T,49,6.0NRT,290.3,9.7,N
8.658,-68.042,301.4,1.4,1.2,2021-01-28,0310,T,25,6.0NRT,290,7.7,N
9.237,-64.288,310.8,2.7,1.6,2021-01-28,0310,T,81,6.0NRT,291.1,43,N
9.234,-64.313,322.3,2.7,1.6,2021-01-28,0310,T,100,6.0NRT,291.9,85.1,N
9.241,-64.296,313.6,2.7,1.6,2021-01-28,0310,T,87,6.0NRT,291.1,52.3,N
9.238,-64.32,307.3,2.7,1.6,2021-01-28,0310,T,71,6.0NRT,291.5,32.7,N
9.374,-64.535,300.9,2.6,1.5,2021-01-28,0310,T,34,6.0NRT,288.9,16,N
9.394,-64.545,300.4,2.6,1.5,2021-01-28,0310,T,14,6.0NRT,289,13.6,N
